customer_id,customer_name,region,grade,total_order_count,paid_order_count,cancelled_order_count,paid_rate,first_order_date,last_order_date,data_reference_date,active_period_days,avg_days_between_orders,recency_days,avg_customer_order_count,order_count_rank,activity_status,management_action
1,Kim,Seoul,VIP,9,9,0,100.0,2026-01-15,2026-07-30,2026-07-31,196.0,24.5,1.0,3.47,1,recent,retention_priority
5,Han,Seoul,VIP,8,8,0,100.0,2025-12-20,2026-07-31,2026-07-31,223.0,31.9,0.0,3.47,2,recent,retention_priority
6,Jung,Busan,GOLD,7,6,1,85.7,2026-01-05,2026-07-24,2026-07-31,200.0,33.3,7.0,3.47,3,recent,retention_priority
9,Yoon,Daejeon,VIP,6,6,0,100.0,2026-01-07,2026-07-29,2026-07-31,203.0,40.6,2.0,3.47,4,recent,retention_priority
25,Bae,Incheon,VIP,6,6,0,100.0,2026-01-12,2026-07-31,2026-07-31,200.0,40.0,0.0,3.47,4,recent,retention_priority
21,Ko,Daejeon,VIP,5,4,1,80.0,2026-02-01,2026-07-27,2026-07-31,176.0,44.0,4.0,3.47,5,recent,retention_priority
29,Oh,Seoul,VIP,5,4,1,80.0,2026-02-09,2026-07-26,2026-07-31,167.0,41.8,5.0,3.47,5,recent,retention_priority
2,Lee,Busan,BASIC,4,3,1,75.0,2026-01-10,2026-07-21,2026-07-31,192.0,64.0,10.0,3.47,6,recent,retention_priority
19,Hong,Incheon,VIP,4,4,0,100.0,2026-02-05,2026-07-18,2026-07-31,163.0,54.3,13.0,3.47,6,recent,retention_priority
7,Kang,Incheon,BASIC,5,1,4,20.0,2026-02-12,2026-07-28,2026-07-31,166.0,41.5,3.0,3.47,5,recent,order_issue_review
3,Park,Seoul,GOLD,4,1,3,25.0,2026-05-10,2026-07-23,2026-07-31,74.0,24.7,8.0,3.47,6,recent,order_issue_review
14,Kwon,Daegu,BASIC,4,1,3,25.0,2026-03-03,2026-07-20,2026-07-31,139.0,46.3,11.0,3.47,6,recent,order_issue_review
23,Yang,Seoul,GOLD,3,1,2,33.3,2026-03-19,2026-06-20,2026-07-31,93.0,46.5,41.0,3.47,7,cooling,order_issue_review
15,Hwang,Daejeon,VIP,5,5,0,100.0,2025-11-25,2026-03-20,2026-07-31,115.0,28.8,133.0,3.47,5,inactive_candidate,reengagement_candidate
10,Jang,Gwangju,BASIC,4,4,0,100.0,2025-12-10,2026-04-15,2026-07-31,126.0,42.0,107.0,3.47,6,inactive_candidate,reengagement_candidate
27,Heo,Daejeon,BASIC,4,4,0,100.0,2025-12-28,2026-04-25,2026-07-31,118.0,39.3,97.0,3.47,6,inactive_candidate,reengagement_candidate
17,Song,Seoul,BASIC,3,3,0,100.0,2026-01-17,2026-05-25,2026-07-31,128.0,64.0,67.0,3.47,7,inactive_candidate,reengagement_candidate
20,Jeon,Daegu,GOLD,2,2,0,100.0,2025-12-12,2026-02-15,2026-07-31,65.0,65.0,166.0,3.47,8,inactive_candidate,reengagement_candidate
4,Choi,Incheon,BASIC,0,0,0,0.0,,,2026-07-31,,,,3.47,10,no_order,activation_candidate
12,Shin,Busan,BASIC,0,0,0,0.0,,,2026-07-31,,,,3.47,10,no_order,activation_candidate
18,Ryu,Busan,BASIC,0,0,0,0.0,,,2026-07-31,,,,3.47,10,no_order,activation_candidate
24,Son,Busan,BASIC,0,0,0,0.0,,,2026-07-31,,,,3.47,10,no_order,activation_candidate
30,Yoo,Busan,BASIC,0,0,0,0.0,,,2026-07-31,,,,3.47,10,no_order,activation_candidate
8,Cho,Daegu,GOLD,3,3,0,100.0,2026-03-01,2026-07-15,2026-07-31,136.0,68.0,16.0,3.47,7,recent,general_management
13,Seo,Incheon,GOLD,3,2,1,66.7,2026-02-20,2026-06-10,2026-07-31,110.0,55.0,51.0,3.47,7,cooling,general_management
28,Nam,Gwangju,GOLD,3,3,0,100.0,2026-04-11,2026-07-09,2026-07-31,89.0,44.5,22.0,3.47,7,recent,general_management
11,Lim,Seoul,GOLD,2,2,0,100.0,2026-05-30,2026-07-05,2026-07-31,36.0,36.0,26.0,3.47,8,recent,general_management
16,Ahn,Gwangju,GOLD,2,2,0,100.0,2026-06-11,2026-07-25,2026-07-31,44.0,44.0,6.0,3.47,8,recent,general_management
26,Baek,Daegu,GOLD,2,1,1,50.0,2026-04-07,2026-06-15,2026-07-31,69.0,69.0,46.0,3.47,8,cooling,general_management
22,Moon,Gwangju,BASIC,1,1,0,100.0,2026-07-01,2026-07-01,2026-07-31,,,30.0,3.47,9,recent,general_management
