customer_id,customer_name,region,grade,total_order_count,order_count_zscore,management_action
1,Kim,Seoul,VIP,9,2.331,retention_priority
5,Han,Seoul,VIP,8,1.909,retention_priority
6,Jung,Busan,GOLD,7,1.488,retention_priority
9,Yoon,Daejeon,VIP,6,1.067,retention_priority
25,Bae,Incheon,VIP,6,1.067,retention_priority
21,Ko,Daejeon,VIP,5,0.646,retention_priority
29,Oh,Seoul,VIP,5,0.646,retention_priority
7,Kang,Incheon,BASIC,5,0.646,order_issue_review
15,Hwang,Daejeon,VIP,5,0.646,reengagement_candidate
2,Lee,Busan,BASIC,4,0.225,retention_priority
19,Hong,Incheon,VIP,4,0.225,retention_priority
3,Park,Seoul,GOLD,4,0.225,order_issue_review
14,Kwon,Daegu,BASIC,4,0.225,order_issue_review
10,Jang,Gwangju,BASIC,4,0.225,reengagement_candidate
27,Heo,Daejeon,BASIC,4,0.225,reengagement_candidate
23,Yang,Seoul,GOLD,3,-0.197,order_issue_review
17,Song,Seoul,BASIC,3,-0.197,reengagement_candidate
8,Cho,Daegu,GOLD,3,-0.197,general_management
13,Seo,Incheon,GOLD,3,-0.197,general_management
28,Nam,Gwangju,GOLD,3,-0.197,general_management
11,Lim,Seoul,GOLD,2,-0.618,general_management
20,Jeon,Daegu,GOLD,2,-0.618,reengagement_candidate
26,Baek,Daegu,GOLD,2,-0.618,general_management
16,Ahn,Gwangju,GOLD,2,-0.618,general_management
22,Moon,Gwangju,BASIC,1,-1.039,general_management
4,Choi,Incheon,BASIC,0,-1.46,activation_candidate
24,Son,Busan,BASIC,0,-1.46,activation_candidate
18,Ryu,Busan,BASIC,0,-1.46,activation_candidate
12,Shin,Busan,BASIC,0,-1.46,activation_candidate
30,Yoo,Busan,BASIC,0,-1.46,activation_candidate
